path,le,i,person1-age,person1-gender,person1-ethnicity,person1-skin-color,person2-age,person2-gender,person2-ethnicity,person2-skin-color
A\FluxA1.png,A,1,20,male,Asian,light brown,18,female,Asian,light brown
A\FluxA2.png,A,2,20,male,Asian,light brown,21,female,Asian,light brown
A\FluxA3.png,A,3,20,female,Asian,light brown,21,male,Caucasian,fair
A\FluxA4.png,A,4,20,male,Asian,light brown,21,female,Asian,light brown
A\FluxA5.png,A,5,20,male,white,light skin tone,19,female,white,light skin tone
A\FluxA6.png,A,6,40,male,white,gray hair,30,female,white,fair skin
A\FluxA7.png,A,7,20,male,white,light brown,21,female,white,fair
A\FluxA8.png,A,8,25,male,white,light,30,female,black,dark
A\FluxA9.png,A,9,20,male,Indian,light brown,21,male,Indian,light brown
A\FluxA10.png,A,10,20,male,white,light skin tone,21,male,white,light skin tone
A\FluxA11.png,A,11,25,male,Asian,light brown,30,female,Caucasian,fair
A\FluxA12.png,A,12,30,male,white,light skin tone,35,male,black,medium skin tone
A\FluxA13.png,A,13,0,male,unknown,light,0,female,unknown,light
A\FluxA14.png,A,14,20,female,Indian,light brown,21,male,Indian,medium brown
A\FluxA15.png,A,15,40,male,white,light brown,30,male,white,light brown
A\FluxA16.png,A,16,20,female,Asian,light brown,21,female,Asian,light brown
A\FluxA17.png,A,17,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown
A\FluxA18.png,A,18,20,male,Asian,light brown,21,female,Asian,light brown
A\FluxA19.png,A,19,0,Female,White,Light skin tone,0,Male,White,Light skin tone
A\FluxA20.png,A,20,20,female,African American,light brown,25,male,African American,dark brown
A\FluxA21.png,A,21,25,male,white,light brown,26,female,white,light brown
A\FluxA22.png,A,22,30,male,white,light brown,25,male,white,light brown
A\FluxA23.png,A,23,20,male,white,light brown,18,female,black,dark brown
A\FluxA24.png,A,24,60,male,white,light skin tone,50,female,white,light skin tone
A\FluxA25.png,A,25,20,male,Asian,light brown,21,female,Asian,light brown
A\FluxA26.png,A,26,20,female,Asian,light brown,21,male,Asian,light brown
A\FluxA27.png,A,27,20,female,Asian,light brown,21,female,Asian,light brown
A\FluxA28.png,A,28,20,female,white,light brown,21,male,white,light brown
A\FluxA29.png,A,29,20,male,white,light brown,21,female,white,fair
A\FluxA30.png,A,30,30,male,Indian,light brown,35,male,Indian,light brown
A\FluxA31.png,A,31,0,male,not specified,light skin tone,0,male,not specified,light skin tone
A\FluxA32.png,A,32,20,male,white,light brown,30,female,black,dark brown
A\FluxA33.png,A,33,0,female,unknown,light,0,male,unknown,light
A\FluxA34.png,A,34,30,male,Indian,light brown,31,male,Indian,light brown
A\FluxA35.png,A,35,25,female,white,light brown,28,male,asian,medium brown
A\FluxA36.png,A,36,30,female,Indian,light brown,35,male,Caucasian,fair
A\FluxA37.png,A,37,30,male,white,light brown,25,female,white,fair
A\FluxA38.png,A,38,25,male,white,light brown,30,female,black,dark brown
A\FluxA39.png,A,39,10,female,Asian,light brown,8,male,Asian,light brown
A\FluxA40.png,A,40,0,male,unknown,light,0,male,unknown,light
A\FluxA41.png,A,41,0,male,white,light brown,0,male,white,light brown
A\FluxA42.png,A,42,30,male,white,light,25,female,asian,medium
A\FluxA43.png,A,43,25,female,asian,light brown,30,male,white,fair
A\FluxA44.png,A,44,20,male,white,light skin tone,20,female,white,light skin tone
A\FluxA45.png,A,45,20,male,white,light brown,21,male,white,light brown
A\FluxA46.png,A,46,20,male,white,light brown,21,female,white,light brown
A\FluxA47.png,A,47,20,male,Asian,light brown,21,male,Asian,light brown
A\FluxA48.png,A,48,0,male,white,light skin tone,0,male,white,light skin tone
A\FluxA49.png,A,49,30,male,white,light brown,25,female,white,fair
A\FluxA50.png,A,50,20,male,Indian,light brown,21,male,Indian,light brown
A\FluxA51.png,A,51,0,Unknown,Unknown,Unknown,0,Unknown,Unknown,Unknown
A\FluxA52.png,A,52,20,male,Asian,light brown,25,female,Middle Eastern,medium brown
A\FluxA53.png,A,53,0,male,white,light skin tone,0,female,white,light skin tone
A\FluxA54.png,A,54,30,female,white,light brown,35,male,white,medium brown
A\FluxA55.png,A,55,20,male,white,light brown,19,female,white,fair
A\FluxA56.png,A,56,0,male,unknown,light,0,female,unknown,light
A\FluxA57.png,A,57,30,male,white,light brown,0,female,unknown,black and white
A\FluxA58.png,A,58,20,male,white,light skin tone,21,male,white,light skin tone
A\FluxA59.png,A,59,0,", ",,light brown,0,male,,light brown
A\FluxA60.png,A,60,30,male,white,light skin tone,35,female,white,light skin tone
A\FluxA61.png,A,61,20,female,white,light skin tone,21,female,white,light skin tone
B\FluxB1.png,B,1,22,male,white,light,23,female,black,dark
B\FluxB2.png,B,2,30,male,white,light brown,25,female,white,fair
B\FluxB3.png,B,3,20,male,white,light brown,18,female,Asian,light brown
B\FluxB4.png,B,4,20,female,Asian,light brown,19,female,Asian,light brown
B\FluxB5.png,B,5,40,male,white,light brown,30,female,white,light brown
B\FluxB6.png,B,6,20,male,white,light skin tone,19,female,white,light skin tone
B\FluxB7.png,B,7,20,male,black,dark brown,21,male,black,dark brown
B\FluxB8.png,B,8,30,male,white,light brown,25,female,asian,medium brown
B\FluxB9.png,B,9,20,male,Asian,light brown,18,female,Caucasian,fair
B\FluxB10.png,B,10,20,male,Asian,light brown,21,male,Asian,light brown
B\FluxB11.png,B,11,20,male,white,light brown,21,female,white,light brown
B\FluxB12.png,B,12,25,female,white,light brown,28,male,white,light brown
B\FluxB13.png,B,13,0,", ",,light brown,0,", ",,light brown
B\FluxB14.png,B,14,20,female,Asian,light brown,25,male,Indian,medium brown
B\FluxB15.png,B,15,30,male,Indian,light brown,40,male,White,fair
B\FluxB16.png,B,16,30,male,white,light brown,35,male,white,light brown
B\FluxB17.png,B,17,30,male,white,light brown,25,female,asian,dark brown
B\FluxB18.png,B,18,30,male,white,light brown,28,male,white,light brown
B\FluxB19.png,B,19,0,", ",,light,0,", ",,light
B\FluxB20.png,B,20,25,male,Indian,light brown,26,male,Indian,medium brown
